sentence|difficulty
Bonjour, comment ça va?|1
Pouvez-vous m'aider, s'il vous plaît?|1
Quelle heure est-il?|1
Où sont les toilettes les plus proches?|2
Je voudrais un café.|2
Je ne comprends pas.|2
Combien ça coûte?|2
Puis-je avoir l'addition, s'il vous plaît?|2
Est-ce que ce siège est libre?|2
Où est la salle d'attente?|2
Quel temps fera-t-il demain?|2
Est-ce que je peux essayer cela?|2
Excusez-moi, où est la gare?|3
Je dois aller à l'hôpital.|3
Pourriez-vous parler plus lentement, s'il vous plaît?|3
Pouvez-vous recommander un bon restaurant?|3
Pouvez-vous me recommander un bon livre?|3
Je voudrais un billet aller-retour.|3
Pouvez-vous m'appeler un taxi?|3
Je cherche la pharmacie la plus proche.|3
Combien de temps dure le trajet?|3
Pouvez-vous me prendre en photo?|3
Je suis perdu, pouvez-vous m'aider?|3
À quelle heure ferme le musée?|3
Où puis-je acheter des timbres?|3
Pourriez-vous m'indiquer le chemin?|3
Pourriez-vous répéter cela?|3
Y a-t-il une connexion Wi-Fi ici?|3
Je cherche un hôtel.|3
Pouvez-vous me montrer sur la carte?|3
Pouvez-vous baisser la musique, s'il vous plaît?|4
Je voudrais recharger mon téléphone.|4
Je dois envoyer ce colis.|4
Je voudrais annuler ma réservation.|4
Est-ce que cet aliment contient du gluten?|4
J'ai raté mon vol.|4
Je dois changer de l'argent.|4
Je voudrais réserver une table pour deux.|4
Je suis allergique aux cacahuètes.|4
Je voudrais recharger mon téléphone.|4
Je dois envoyer ce colis.|4
Je voudrais annuler ma réservation.|4
Est-ce que cet aliment contient du gluten?|4
